"","Symbol","X.tax_id","GeneID","LocusTag","Synonyms","dbXrefs","chromosome","map_location","description","type_of_gene","Symbol_from_nomenclature_authority","Full_name_from_nomenclature_authority","Nomenclature_status","Other_designations","Modification_date","Feature_type","H1975_Veh_vs_H1975_C36","H3255_Veh_vs_H3255_C36","H820_Veh_vs_H820_E07","H1975_Veh_vs_H1975_E07","H3255_E07_vs_H3255_C36","H820_Veh_vs_H820_C36","H820_E07_vs_H820_C36","H3255_Veh_vs_H3255_E07","A549_E07_vs_A549_C36","H1975_E07_vs_H1975_C36","A549_Veh_vs_A549_E07","A549_Veh_vs_A549_C36"
"37543","TRIM56",9606,81844,"-","RNF109","MIM:616996|HGNC:HGNC:19028|Ensembl:ENSG00000169871|AllianceGenome:HGNC:19028","7","7q22.1","tripartite motif containing 56","protein-coding","TRIM56","tripartite motif containing 56","O","E3 ubiquitin-protein ligase TRIM56|RING finger protein 109|RING-type E3 ubiquitin transferase TRIM56|tripartite motif-containing protein 56",20231010,"-",0.0512009999999999,-0.0557365,0.0252382999999999,-0.0584463,0.110317,0.0555053999999999,0.0291024999999999,-0.161474,-0.0449009999999999,0.11235,-0.0186834,-0.0637715
"37544","TRIM58",9606,25893,"-","BIA2","MIM:620527|HGNC:HGNC:24150|Ensembl:ENSG00000162722|AllianceGenome:HGNC:24150","1","1q44","tripartite motif containing 58","protein-coding","TRIM58","tripartite motif containing 58","O","E3 ubiquitin-protein ligase TRIM58|RING-type E3 ubiquitin transferase TRIM58|tripartite motif-containing protein 58",20231015,"-",0,0,0,0,0.0023793492972785,0,0,-0.0023509603570333,0,0,0,0
"37545","TRIM59",9606,286827,"-","IFT80L|MRF1|RNF104|TRIM57|TSBF1","MIM:616148|HGNC:HGNC:30834|Ensembl:ENSG00000213186|AllianceGenome:HGNC:30834","3","3q25.33","tripartite motif containing 59","protein-coding","TRIM59","tripartite motif containing 59","O","tripartite motif-containing protein 59|RING finger protein 104|tripartite motif-containing 57|tumor suppressor TSBF-1|tumor suppressor TSBF1",20231106,"-",0.00644952,-0.012402,0.0246572999999999,0.17826,-0.0508524999999999,0.0773308,0.0515187,0.043064,0.134725,-0.16913,-0.0392478,0.095264
"37546","TRIM59-IFT80",9606,100174949,"-","IFT80-L","HGNC:HGNC:56756|Ensembl:ENSG00000248710","3","3q25.33","TRIM59-IFT80 readthrough (NMD candidate)","ncRNA","TRIM59-IFT80","TRIM59-IFT80 readthrough (NMD candidate)","O","-",20231010,"-",0.2165,-0.119024,-0.0486243,0.0777432,0.365066,-0.272709,-0.225312,-0.479453,0.0249002,0.141692,-0.44341,-0.419178
"37547","TRIM6",9606,117854,"-","RNF89","MIM:607564|HGNC:HGNC:16277|Ensembl:ENSG00000121236|AllianceGenome:HGNC:16277","11","11p15.4","tripartite motif containing 6","protein-coding","TRIM6","tripartite motif containing 6","O","tripartite motif-containing protein 6|RING finger protein 89|RING-type E3 ubiquitin transferase TRIM6",20231015,"-",0.231648,0.312146,0.112372,0.114423,0.249136,0.119751,0.00620973,0.067678,0.0401158999999999,0.119931,0.0319572,0.0719498
"37548","TRIM6-TRIM34",9606,445372,"-","IFP1|RNF21|RNF89|TRIM34|TRIM6","HGNC:HGNC:33440|Ensembl:ENSG00000258588|AllianceGenome:HGNC:33440","11","11p15.4","TRIM6-TRIM34 readthrough","protein-coding","TRIM6-TRIM34","TRIM6-TRIM34 readthrough","O","tripartite motif-containing 6 and tripartite motif-containing 34|RING finger protein 21|RING finger protein 89|RING-type E3 ubiquitin transferase TRIM6|Tripartite motif-containing protein 34|Tripartite motif-containing protein 6|interferon-responsive finger protein 1 long form",20231010,"-",0,-0.0002032671817982,0,0,-0.000189023947574,-0.0388225811292078,-0.0390826507442991,0,-0.0410242480354995,0,0.0307554408251075,-0.409979
"37549","TRIM60P13",9606,100132195,"-","-","HGNC:HGNC:38485|AllianceGenome:HGNC:38485","13","13q31.2","tripartite motif containing 60 pseudogene 13","pseudo","TRIM60P13","tripartite motif containing 60 pseudogene 13","O","-",20231010,"-",0,-0.0068167909084843,0,0,-0.0068967105732019,0,0,0,0,0,0,0
"37550","TRIM60P14",9606,653794,"-","-","HGNC:HGNC:38486|Ensembl:ENSG00000250227|AllianceGenome:HGNC:38486","4","4q32.3","tripartite motif containing 60 pseudogene 14","pseudo","TRIM60P14","tripartite motif containing 60 pseudogene 14","O","-",20231010,"-",-0.174664,0,-0.0113861301206793,0.120325,0,0,0.0113800611681246,0,0,-0.292776,0,-0.0099717032312734
"37551","TRIM60P17",9606,100420414,"-","-","HGNC:HGNC:38489|AllianceGenome:HGNC:38489","7","7q11.21","tripartite motif containing 60 pseudogene 17","pseudo","TRIM60P17","tripartite motif containing 60 pseudogene 17","O","-",20231010,"-",0.679394,0,0,1.67533,0,0,0,0,0,-0.993933,0,0
"37552","TRIM60P2Y",9606,100420363,"-","TRIM60P2|TRIM60PY2","HGNC:HGNC:38405|Ensembl:ENSG00000273863|AllianceGenome:HGNC:38405","Y","Yp11.2","tripartite motif containing 60 pseudogene 2, Y-linked","pseudo","TRIM60P2Y","tripartite motif containing 60 pseudogene 2, Y-linked","O","tripartite motif-containing 60 pseudogene, Y-linked 2",20231010,"-",0,0.0078236475615736,0.0079932275473223,0,0,0.0079388791817193,0,0.0078521298979031,0,0,0,0
