gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
LOC643576	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.704272				
LOC643576	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.821152			
LOC644936	H3255	E07_vs_C36	downregulated	0.0002	0.00257015								-0.551642				
LOC644936	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.88035		
LOC644936	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.931313
LOC645405	H1975	E07_vs_C36	downregulated	5e-05	0.00166321												
LOC646347	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-0.933167					
LOC646347	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.05725			
LOC646903	H3255	E07_vs_C36	upregulated	0.00375	0.0286309								1.04546				
LOC653698	A549	C36_vs_Veh	downregulated	0.00015	0.00754787	-0.947444											
LOC653698	A549	E07_vs_C36	upregulated	0.0003	0.0235733		0.927649										
LOC724084	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.2473				
LOC728392	H1975	E07_vs_C36	upregulated	0.00125	0.0242207					0.70195							
LOC729086	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-0.737997					
LOC729086	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.708598			
LOC730101	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.723707		
LOC730183	H1975	E07_vs_Veh	upregulated	0.00225	0.0394897						0.536209						
LOC84214	H1975	E07_vs_C36	upregulated	0.00115	0.0227877					0.8831680000000001							
LOC90246	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.55487							
LONRF1	H1975	C36_vs_Veh	upregulated	0.0001	0.00925397				1.00813								
LONRF1	H1975	E07_vs_C36	downregulated	0.00095	0.0195555					-0.802221							
LONRF2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.05082				
LONRF2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.8754620000000001			
LOXL1-AS1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.819606				
LOXL1-AS1	H3255	E07_vs_Veh	upregulated	0.00025	0.00298436									0.678946			
LOXL4	H1975	E07_vs_C36	upregulated	0.0001	0.00313005					0.5798							
LPCAT1-2	A549	E07_vs_C36	downregulated	0.0006	0.0441464		-0.513321										
LPCAT1-2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-0.7238640000000001									
LPCAT1-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.22793							
LPCAT1-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.32291						
LPCAT1-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-0.6544949999999999					
LPCAT1-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.554415	
LPCAT4	A549	E07_vs_C36	upregulated	5e-05	0.00476088		4.10525										
LPCAT4	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			3.3514									
LPCAT4	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					3.2309							
LPCAT4-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.93034			
LRFN1	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.8508690000000001	
LRP6-2	A549	C36_vs_Veh	upregulated	0.0003	0.0138729	0.8686530000000001											
LRP6-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-1.19118										
LRP6-2	H820	E07_vs_C36	upregulated	0.0001	0.00897937											0.908274	
LRRC26	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.601035				
LRRC26	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.8776700000000001			
LRRC31	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.579959			
LRRC37A2-2	H820	C36_vs_Veh	downregulated	0.00015	0.00761444										-0.801337		
LRRC37A2-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.997254
LRRC37A3	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.716287				
LRRC37A3	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.972325			
LRRC73	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.782904				
LRRC73	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.801552			
LRRC75B	H1975	E07_vs_C36	upregulated	0.0022	0.0372637					0.588158							
LRRC75B	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.724475				
LRRC75B	H3255	E07_vs_Veh	upregulated	0.00015	0.00192713									0.643514			
LSAMP	H3255	E07_vs_C36	downregulated	0.0002	0.00257015								-0.590046				
LSAMP	H3255	E07_vs_Veh	downregulated	0.00025	0.00298436									-0.628246			
LSM14A	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-0.741273											
LSM14A	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.506264										
LSM14A	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.632584							
LSM14A	H820	C36_vs_Veh	downregulated	0.00035	0.0155876										-0.507947		
LSM14A	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.610093	
LSM14A-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.564257									
LSM14A-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				0.7077939999999999								
LSM14A-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.16795						
LSM14A-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.06206					
LSM14A-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.60512				
LSM14A-2	H3255	E07_vs_Veh	upregulated	0.0002	0.00247709									0.538747			
LSMEM1	H1975	E07_vs_Veh	upregulated	0.00245	0.0419103						0.788243						
LSS-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-1.7864											
LSS-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.63572								
LSS-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					2.52389							
LSS-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.22848					
LSS-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								3.21406				
LSS-2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.98128			
LSS-2	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										2.98417		
LSS-2	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												2.49151
LTN1-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.528359		
LUCAT1	H3255	E07_vs_C36	downregulated	0.00685	0.045578								-1.83705				
LY6E	H1975	E07_vs_Veh	downregulated	0.0002	0.00635906						-0.502653						
LY6E-2	H820	E07_vs_C36	downregulated	0.00065	0.0461554											-1.14614	
LY6E-DT	H1975	E07_vs_Veh	upregulated	0.0027	0.0450882						0.784698						
LY6E-DT	H3255	E07_vs_C36	upregulated	0.00435	0.0321744								0.8466389999999999				
LY6K	H3255	E07_vs_Veh	downregulated	0.006	0.0392914									-1.18185			
LYPD1	H1975	E07_vs_C36	upregulated	0.0011	0.0220719					0.551107							
LYRM9	H1975	E07_vs_C36	upregulated	0.0001	0.00313005					0.5194							
LYRM9	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.7232729999999999						
LYRM9	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.8127909999999999				
LYRM9	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.17979			
MAB21L4	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.639886				
MACC1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.659536			
MACROD2	H3255	E07_vs_C36	downregulated	0.00205	0.0175861								-0.600973				
MACROD2	H3255	E07_vs_Veh	downregulated	0.0001	0.00135278									-0.806524			
MAFB	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.551032				
MAFB	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.506343			
MAFIP	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-0.707816											
MAGEA3-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.647099			
MAGEA3-DT	H3255	C36_vs_Veh	upregulated	0.00035	0.0230867							1.985					
MAGEA3-DT	H3255	E07_vs_Veh	upregulated	0.00125	0.0113085									1.7793			
MAGED2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.558617				
MAGED4	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								2.3406700000000003				
MAGED4	H3255	E07_vs_Veh	upregulated	0.0001	0.00135278									1.16347			
MAGED4	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.4017700000000002		
MAGED4	H820	E07_vs_C36	upregulated	0.0006	0.0435154											0.76258	
MAGED4	H820	E07_vs_Veh	downregulated	0.0004	0.0182465												-0.637678
MAGED4B	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.46451				
MAGED4B	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-0.974271	
MAGEH1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.779838				
MAGEH1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.695887			
MAGI2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.510195			
MAILR	H1975	E07_vs_Veh	upregulated	0.0012	0.0252836						1.06407						
MAL2	A549	C36_vs_Veh	upregulated	0.0015	0.0480319	0.7909729999999999											
MALAT1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.80237				
MALAT1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.692248			
MAML1	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							0.661229					
MAML1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.886857				
MAML1-2	H1975	E07_vs_C36	upregulated	0.00015	0.00441843					0.658171							
MAML1-2	H1975	E07_vs_Veh	upregulated	0.00045	0.012283						0.6154270000000001						
MAMLD1	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.5526220000000001							
MAMLD1	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.532057						
MAN1C1	H1975	E07_vs_C36	upregulated	0.00145	0.027251					0.55079							
MAN1C1	H1975	E07_vs_Veh	upregulated	0.0003	0.00880485						0.611092						
MANBAL	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.21505											
MANBAL	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-0.842851										
MANBAL	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.20552					
MANBAL	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.2154200000000002			
MANBAL	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.967072	
MANCR	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.611949						
MANSC1-2	A549	C36_vs_Veh	upregulated	0.00045	0.0190045	0.711032											
MANSC1-2	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							0.937083					
MAOB	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.568504						
MAP2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.09932							
MAP2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.01631						
MAP2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.520029				
MAP2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.609214			
MAP2K1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.6267510000000001				
MAP2K1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.5904510000000001			
MAP2K5-DT	H1975	E07_vs_C36	upregulated	0.00325	0.0498818					0.590271							
MAP2K5-DT	H3255	E07_vs_C36	upregulated	0.001	0.00975879								0.8513430000000001				
MAP3K8	H3255	E07_vs_Veh	upregulated	0.0001	0.00135278									0.664842			
MAP4K3-DT	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.696717				
MAP7D2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.733028							
MAPK4	H3255	E07_vs_Veh	downregulated	0.00225	0.0181109									-0.613947			
MAPRE2	H3255	E07_vs_Veh	upregulated	0.0008	0.0079205									0.743158			
MARCHF3	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.514717						
MARCHF4	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.7310270000000001							
MARCHF4	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.577433						
MARF1	H1975	C36_vs_Veh	downregulated	0.00035	0.0270863				-0.6834439999999999								
MARF1	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.6588930000000001							
MARF1	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-1.4175	
MARVELD2-3	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.32794					
MARVELD2-3	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.4425			
MARVELD3	A549	C36_vs_Veh	upregulated	0.0014	0.0458043	0.621088											
MAT1A	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.683581											
MAT1A	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.648703									
MATN2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.670255			
MB	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.13407				
MB	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.06014			
MCCC2-3	H1975	C36_vs_Veh	downregulated	0.0001	0.00925397				-3.21857								
MCCC2-3	H1975	E07_vs_Veh	downregulated	0.0001	0.00359652						-3.24647						
MCCC2-3	H820	C36_vs_Veh	upregulated	0.0005	0.0214115										0.516808		
MCCC2-3	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-4.82954	
MCCC2-3	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-4.31165
MCF2L	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.614668			
MCHR1	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.08584							
MCHR1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.8298969999999999						
MCRIP1-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.37415										
MCRIP1-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			1.73463									
MCRIP1-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.2378								
MCRIP1-2	H1975	E07_vs_C36	upregulated	0.0004	0.00988531					1.13225							
MCRIP1-2	H3255	C36_vs_Veh	upregulated	0.0001	0.00773911							0.8635940000000001					
MCRIP1-2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.33303			
MCRIP1-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.49536		
MCRIP1-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.47602
MCTP1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.502163				
MCTS1-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.986854							
MCTS1-2	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-1.10777						
MCTS1-2	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							0.8646969999999999					
MCTS1-2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.917289				
MDC1-4	H1975	C36_vs_Veh	upregulated	0.00015	0.01325				0.77155								
MDC1-4	H1975	E07_vs_Veh	upregulated	0.00215	0.0382704						0.52951						
MDC1-4	H3255	E07_vs_Veh	upregulated	0.0003	0.00348921									0.657881			
MDC1-4	H820	E07_vs_C36	downregulated	0.00025	0.0201078											-0.53541	
MDC1-4	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.731485
MDFI	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.536062				
MDFI	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.556449			
MED10-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.63059							
MED10-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.53669						
MED16-2	H1975	E07_vs_C36	upregulated	0.0028	0.0447821					1.10884							
MED16-2	H1975	E07_vs_Veh	upregulated	0.00225	0.0394897						1.4828						
MED22-2	H3255	E07_vs_C36	upregulated	0.0015	0.0136767								0.716599				
MED22-2	H820	C36_vs_Veh	downregulated	0.00125	0.0447988										-0.684499		
MED22-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.15133
MEF2C	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.621798				
MEF2C	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.549148			
MEF2D-2	A549	C36_vs_Veh	downregulated	0.00055	0.0224821	-0.7327779999999999											
MEF2D-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		2.19575										
MEF2D-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.96545		
MEF2D-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											1.9161	
MEGF8	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.52757				
MEGF8	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.540976			
MEOX1	H3255	E07_vs_C36	downregulated	0.0008	0.00811184								-0.739849				
MEOX1	H3255	E07_vs_Veh	downregulated	0.0001	0.00135278									-0.903895			
METRNL	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.6495350000000001		
METRNL	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.5311239999999999
METTL27	H1975	E07_vs_C36	upregulated	0.00065	0.0145064					0.533744							
METTL27	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.559107				
METTL27	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.520604			
METTL9	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-2.02515										
METTL9	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-2.0028									
METTL9	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				2.7568								
METTL9	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-3.78847							
METTL9	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-1.03554						
METTL9	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							2.73664					
METTL9	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-2.16395				
METTL9	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.54356		
METTL9	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-2.01093
METTL9-2	A549	C36_vs_Veh	downregulated	0.0001	0.00520597	-1.04098											
METTL9-2	A549	E07_vs_Veh	downregulated	0.0001	0.00785286			-0.88233									
METTL9-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.30432								
METTL9-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					2.7307200000000003							
METTL9-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.42408						
MFSD2A	H1975	E07_vs_C36	downregulated	0.0016	0.0295308					-0.7412810000000001							
MFSD2A	H1975	E07_vs_Veh	downregulated	0.00085	0.0195266						-0.702701						
MFSD2A	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.2115200000000002				
MFSD2A	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.3348			
MGLL	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.520786				
MGLL	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.731965			
MGP	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.769912							
MGP	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.6542979999999999						
MICA	H3255	E07_vs_Veh	upregulated	0.00295	0.0224237									1.0658299999999998			
MICA-3	H820	E07_vs_C36	upregulated	0.0004	0.0308564											1.25489	
MICA-3	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												2.02745
MICAL1	H3255	E07_vs_C36	upregulated	0.00155	0.0140214								0.5948359999999999				
MICAL1	H3255	E07_vs_Veh	upregulated	0.00025	0.00298436									0.714625			
MICAL2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.858736				
MICAL2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.857547			
MIEF2	H3255	C36_vs_Veh	downregulated	0.00025	0.017217							-1.17062					
MIEF2	H3255	E07_vs_Veh	downregulated	0.0024	0.0190282									-0.808297			
MIF-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					2.24094							
MIF-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						2.16958						
MIF-2	H3255	E07_vs_C36	downregulated	0.0001	0.00143002								-0.52508				
MIR210HG	H1975	E07_vs_Veh	downregulated	0.00045	0.012283						-0.549363						
MIR210HG	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.5587949999999999				
MIR210HG	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.9122			
MIR210HG-2	H1975	E07_vs_Veh	downregulated	0.00015	0.00493931						-0.502265						
MIR210HG-2	H3255	E07_vs_Veh	downregulated	0.0039	0.0280054									-0.851801			
MIR31HG	A549	C36_vs_Veh	downregulated	0.0001	0.00520597	-0.553295											
MIR4435-2HG	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.540505				
MIR4435-2HG	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.5672010000000001			
MIR9-1HG	A549	E07_vs_C36	upregulated	0.00035	0.0273693		1.46817										
MKX	H1975	E07_vs_C36	upregulated	0.00075	0.016221					0.713566							
MLKL	H3255	E07_vs_C36	downregulated	0.0017	0.0151318								-0.621211				
MLLT6-2	A549	E07_vs_Veh	upregulated	0.0004	0.0269241			0.5300279999999999									
MLLT6-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-0.826117								
MLLT6-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.6661130000000001							
MLLT6-2	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.832216		
MLLT6-2	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.987049
MLXIP-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.815401							
MLXIP-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.39287						
MLXIPL	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.569579							
MMP1	H1975	C36_vs_Veh	downregulated	0.00015	0.01325				-0.536684								
MMP11-2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									2.25426			
MMP13	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.8230270000000001				
MMP13	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.874158			
MN1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.507842						
MN1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.954842				
MN1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.7541720000000001			
MOAP1	H820	E07_vs_Veh	upregulated	0.00015	0.00783808												1.18129
MOB2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-2.97198									
MOB2	H3255	C36_vs_Veh	downregulated	0.00075	0.0432648							-1.7862					
MOB2	H3255	E07_vs_Veh	downregulated	0.00095	0.0090711									-1.56109			
MOB2	H820	E07_vs_C36	upregulated	0.00015	0.0126649											1.9939	
MPZL3	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.510699				
MRAS	H3255	E07_vs_C36	upregulated	0.0004	0.00460386								0.56125				
MRAS	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.707376			
MROH6	H3255	C36_vs_Veh	upregulated	0.0006	0.0360762							0.537928					
MRPL23-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-2.02755										
MRPL23-2	A549	E07_vs_Veh	downregulated	0.0007	0.0413753			-1.43342									
MRPL23-2	H1975	C36_vs_Veh	upregulated	0.0002	0.0169806				1.6611900000000002								
MRPL23-2	H1975	E07_vs_C36	downregulated	0.00015	0.00441843					-1.5528							
MRPL23-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-2.89616		
MRPL23-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											2.05377	
MRPL23-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.8419260000000001
MRPL45	A549	C36_vs_Veh	downregulated	0.0008	0.0294311	-1.91725											
MRPL45	H3255	C36_vs_Veh	upregulated	0.0001	0.00773911							3.07079					
MRPL45	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.5759299999999998				
MRPL45-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.983539										
MRPL45-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.837376									
MRPS12-2	A549	E07_vs_Veh	downregulated	0.0001	0.00785286			-0.5551149999999999									
MRPS12-2	H1975	E07_vs_C36	upregulated	0.0016	0.0295308					0.5341819999999999							
MRPS12-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.15068			
MRPS12-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.83856		
MRPS12-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-2.15071
MS4A15	H820	E07_vs_Veh	upregulated	0.0004	0.0182465												1.4620799999999998
MSRA	A549	E07_vs_C36	downregulated	0.00045	0.0341979		-2.00242										
MSRA	A549	E07_vs_Veh	downregulated	0.0002	0.0146587			-2.2467900000000003									
MSRB1-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				2.75888								
MSRB1-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-2.87538							
MSRB1-2	H3255	E07_vs_C36	downregulated	0.0023	0.0192288								-1.32968				
MSRB1-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.699099		
MSRB1-2	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-1.2145	
MSRB1-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.91249
MT1E	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.6541100000000001		
MT1F	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.5790890000000001			
MT1F	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.986512		
MT1F	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.6230319999999999
MT1X	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-0.628135											
MT1X	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							0.72238					
MT1X	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.505741			
MT1X	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.669977		
MT1X	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.5158510000000001
MTCH2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.5786640000000001									
MTCH2	H1975	C36_vs_Veh	upregulated	0.0001	0.00925397				0.624544								
MTCH2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.641107							
MTCH2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.26386						
MTCH2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-0.922781					
MTCH2	H3255	E07_vs_C36	downregulated	0.0001	0.00143002								-0.649846				
MTCH2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.57752			
MTCH2-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-2.17661											
MTCH2-2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-2.27288									
