gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
ADAMTS6	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.798489			
ADAMTSL4	H3255	E07_vs_Veh	upregulated	0.0022	0.017808									0.597143			
ADAMTSL5	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.544766			
ADAP1	A549	C36_vs_Veh	upregulated	0.0004	0.0173351	0.512057											
ADAP1	H820	E07_vs_Veh	upregulated	0.00115	0.04462												0.585997
ADARB1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.605698				
ADARB1	H3255	E07_vs_Veh	upregulated	0.0004	0.00444972									0.714411			
ADGRF4	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.567876				
ADGRL1	H820	E07_vs_Veh	downregulated	0.0002	0.0100764												-1.0772700000000002
ADGRV1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.5025430000000001						
ADIPOR2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.07875			
ADIPOR2	H820	E07_vs_C36	upregulated	0.00015	0.0126649											1.42969	
ADM	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.5846979999999999						
ADM	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.69358				
ADM	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.910228			
ADM2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.509663											
ADM2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.712527			
ADORA1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.7582899999999999				
ADORA1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.728956			
ADORA2B	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.541928				
ADORA2B	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.666585			
ADPRHL1	H3255	E07_vs_C36	upregulated	0.0007	0.0073096								0.688488				
ADRA2B	H1975	E07_vs_Veh	upregulated	0.00015	0.00493931						1.08801						
AGPAT1	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-1.27554											
AGPAT1	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.39274										
AGPAT1	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					2.08458							
AGPAT1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.26434						
AGPAT5	A549	C36_vs_Veh	downregulated	0.00115	0.0395806	-2.94798											
AGPAT5	A549	E07_vs_Veh	downregulated	0.00015	0.0113993			-1.87078									
AGPAT5-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-3.49696							
AGR2	H820	E07_vs_Veh	downregulated	0.0007	0.0293895999999999												-0.684365
AGT	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.18811							
AGT	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.8365969999999999						
AHNAK2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.563421			
AIFM3	H3255	E07_vs_C36	upregulated	0.00565	0.0394691								0.823478				
AK4	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.3712				
AK4	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.5619			
AKAP1-DT	H3255	E07_vs_C36	upregulated	0.0002	0.00257015								1.216				
AKAP1-DT	H3255	E07_vs_Veh	upregulated	0.00205	0.0168521									0.979989			
AKAP17A-2	A549	C36_vs_Veh	downregulated	0.0002	0.00965306	-0.8670959999999999											
AKAP17A-2	A549	E07_vs_Veh	downregulated	0.00045	0.0299232			-0.7676229999999999									
AKAP17A-2	H1975	C36_vs_Veh	downregulated	0.00015	0.01325				-1.21984								
AKAP17A-2	H1975	E07_vs_Veh	downregulated	0.0012	0.0252836						-0.974602						
AKAP3	H1975	E07_vs_Veh	upregulated	0.00045	0.012283						0.683304						
AKR1B10	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.574048							
AKR1B10	H1975	E07_vs_Veh	upregulated	0.00025	0.00769781						0.526822						
AKR1C1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.654917						
AKR1C3	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.597661							
ALAD	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.5074029999999999			
ALDH1A1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.49209				
ALDH1A1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.48232			
ALDH2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.733143				
ALDH2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.687062			
ALDH3A1	H3255	E07_vs_C36	upregulated	0.0056	0.0392049								0.651927				
ALDH3B1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.528092						
ALDH3B1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.69838				
ALDH3B1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.5406799999999998			
ALDH3B2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.56689						
ALDH6A1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.513735				
ALDH6A1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.544008			
ALDOA	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.560856				
ALDOA	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.6720229999999999			
ALG1L15P	H1975	C36_vs_Veh	upregulated	0.0003	0.0240688				0.980294								
ALG1L15P	H1975	E07_vs_Veh	upregulated	0.00065	0.0162741						0.8505010000000001						
ALG1L15P	H3255	E07_vs_C36	downregulated	0.00125	0.0117088								-0.775297				
ALG1L15P	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.10963			
ALKAL1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.703296				
ALOX15	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.904534		
ALPG	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.55348							
ALPG	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.3589						
ALPG	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.32588				
ALPG	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.911206			
ALPK1	H3255	E07_vs_Veh	upregulated	0.0001	0.00135278									0.5054649999999999			
ALPL	H1975	E07_vs_Veh	upregulated	0.00295	0.0479402						0.695933						
ALPP	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.36339							
ALPP	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.0532						
ALPP	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.817338				
ALPP	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.62441			
ALS2CL	H3255	E07_vs_C36	upregulated	0.0001	0.00143002								0.515189				
AMIGO2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.673275				
AMIGO2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.874892			
AMOTL1	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.756005							
AMOTL1	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.635422						
AMY1A	H3255	C36_vs_Veh	downregulated	0.0001	0.00773911							-0.996439					
AMY1A	H3255	E07_vs_Veh	downregulated	0.0005	0.00533008									-0.713227			
AMY1B	H3255	C36_vs_Veh	downregulated	0.0006	0.0360762							-0.646406					
ANAPC1P2	H3255	E07_vs_Veh	upregulated	0.0001	0.00135278									0.564181			
ANGPTL4	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.557952							
ANGPTL4	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.1175			
ANKDD1B	H1975	E07_vs_C36	upregulated	0.0008	0.0171539					0.634846							
ANKDD1B	H1975	E07_vs_Veh	upregulated	0.00055	0.0144291						0.696191						
ANKDD1B	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.734873				
ANKDD1B	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.12165			
ANKLE1	H1975	E07_vs_C36	downregulated	0.00045	0.0107417					-0.802164							
ANKLE1	H1975	E07_vs_Veh	downregulated	0.00015	0.00493931						-0.953799						
ANKLE1	H820	C36_vs_Veh	upregulated	0.00075	0.0298944										0.5030720000000001		
ANKLE1	H820	E07_vs_Veh	upregulated	0.0002	0.0100764												0.561531
ANKRD1	H3255	E07_vs_C36	downregulated	0.00025	0.00310849								-0.718061				
ANKRD1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.26458			
ANKRD1	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.63517
ANKRD22	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.537981				
ANKRD22	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.573761			
ANKRD24	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.6617850000000001						
ANLN	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.542767			
ANO9	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.6045659999999999				
ANO9	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.508675			
ANXA1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.6995			
ANXA6	H3255	E07_vs_C36	upregulated	0.0021	0.0179196								0.758912				
AP2A2-3	A549	E07_vs_C36	upregulated	0.0001	0.00919716		0.561905										
APBA2-3	H820	E07_vs_C36	upregulated	0.0001	0.00897937											1.05029	
APBA2-3	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												1.38992
APBB1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.6644770000000001				
APBB1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.550092			
APBB2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.807697				
APBB2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.7725920000000001			
APBB3	H3255	E07_vs_Veh	upregulated	0.00215	0.0174836									0.5451199999999999			
APEX1	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-1.82016									
APEX1	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				2.64605								
