gene,H1975_Veh_vs_H1975_C36,H3255_Veh_vs_H3255_C36,H820_Veh_vs_H820_E07,H1975_Veh_vs_H1975_E07,H3255_E07_vs_H3255_C36,H820_Veh_vs_H820_C36,H820_E07_vs_H820_C36,H3255_Veh_vs_H3255_E07,A549_E07_vs_A549_C36,H1975_E07_vs_H1975_C36,A549_Veh_vs_A549_E07,A549_Veh_vs_A549_C36
DNAJA1,0.108305,0.0487558,0.028727600000000002,0.229239,-0.25274,0.013954,-0.0159290999999999,0.30606300000000003,0.0913941,-0.11829300000000001,-0.0131666,0.0781115
DNAJA1P3,0.333948,-0.466675,-0.8559100000000001,-0.0757211,0.46722700000000006,-0.0502958,0.8043170000000001,-0.930154,0.19691,0.4141289999999999,0.569554,0.76639
DNAJA1P6,-0.0185116894002212,0.0,0.9779399999999999,-0.007777170642649001,0.0,0.4655899999999999,-0.513153,0.0,-0.0090443250210895,-1.2572299999999998,0.0,-0.008998604273111
DNAJA2,-0.0175995999999999,0.0316098999999999,0.010288,0.0889599,-0.129227,-0.048674300000000004,-0.0601166999999999,0.165351,0.0601059,-0.1039269999999999,0.0208951,0.0809011999999999
DNAJA2-DT,0.294114,1.00652,-1.30811,-0.306266,1.9761,0.10836900000000001,1.4151200000000002,-0.964145,-0.102031,0.603854,-0.8542420000000001,-0.9561850000000001
DNAJA3,0.6686439999999999,-1.42048,-1.94406,2.3743,-0.21582600000000002,0.0062036917228794,0.0238711966105852,-1.2012,0.0,-1.70327,0.0258736048261269,0.0259547996246861
DNAJA3-2,0.314424,2.82096,0.261934,0.8133130000000001,2.14795,-0.537271,-0.800652,0.677168,0.141558,-0.49795100000000003,1.8273400000000002,1.96977
DNAJA4,-0.253019,-0.0443029999999999,-0.1171619999999999,0.148196,-0.194018,-0.0282317999999999,0.0877738,0.154129,0.6201770000000001,-0.398505,-0.777019,-0.156712
DNAJB1,0.0284272999999999,0.0734184,-0.0331785,0.1350029999999999,0.0263512,-0.06472280000000001,-0.0327159,0.0516029999999999,0.0449167,-0.10391800000000001,0.041915,0.0866385
DNAJB11,0.045709,0.0396037,-0.0169898,0.1430799999999999,-0.290817,-0.0757137,-0.059912,0.33499,-0.0414384,-0.0947331,-0.047241000000000005,-0.0887793
DNAJB12,0.00293644,-0.0652987,0.0211672,0.0375232,-0.0146102,-0.0249408,-0.0472391,-0.046210900000000006,-0.0448845,-0.031916200000000006,0.117398,0.0723101999999999
DNAJB12P1,0.013325,0.28480900000000003,0.9165840000000001,0.12824100000000002,-1.1769399999999999,0.559615,-0.358022,1.46656,-0.977922,-0.11188,-1.38624,-2.36266
DNAJB13,0.739269,0.486285,0.0222712,-0.0249105999999999,1.55725,0.164222,0.140825,-1.0682200000000002,-0.278706,0.767153,0.227043,-0.05185830000000001
DNAJB14,0.171665,0.214113,0.0952086,0.041375,-0.23450700000000002,-0.00674917,-0.10318800000000002,0.4534,0.0239137,0.133018,-0.171146,-0.147573
DNAJB1P1,-0.719381,0.183258,-0.8456319999999999,0.350492,0.415459,-1.19072,-0.346396,-0.228183,1.9421099999999998,-1.06651,-0.0483139999999999,1.89345
DNAJB2,0.013564700000000002,-0.00409608,-0.0251308,-0.1986359999999999,0.13392300000000001,0.0737431,0.0977254999999999,-0.133453,-0.0799429,0.2148719999999999,-0.3158559999999999,-0.395843
DNAJB3,0.0093643583601067,0.0,-0.0178372674053817,0.0094090785304494,0.0,0.0,0.0178210226834087,0.0,0.0,0.0,0.0,0.0
DNAJB4,0.152584,-0.00834183,-0.072246,0.117646,0.000358301,-0.0887073,-0.0176253,-0.00411393,0.106451,0.0374444,-0.0013528,0.1049089999999999
DNAJB5,0.063811,-0.005321500000000001,-0.144319,-0.11214500000000001,-0.0607947999999999,-0.00436424,0.13881,0.0600040999999999,-0.00603822,0.17864000000000002,0.0778203,0.0716424
DNAJB5-DT,0.0181635480845979,-0.0192487196179739,-1.39291,0.0182500214659863,-0.0194733421333914,-1.47596,-0.0834853999999999,0.0,0.0,0.0,0.0317661273112448,0.0318434631677948
DNAJB6,0.0474567,0.00637194,-0.0538631,0.0768724,0.0193455999999999,-0.0602932,-0.00759001,-0.00845611,0.0675443,-0.0267312,-0.0316216,0.0358816
DNAJB6P1,0.138874,0.104201,0.0663943,0.239546,-0.154642,-0.0478176,-0.11542100000000001,0.263538,0.11311600000000001,-0.09776710000000001,0.273617,0.3865139999999999
DNAJB6P3,1.2972,-0.318652,0.0155587984256985,-0.502249,-0.0198205983560958,0.029816200000000005,-0.0152420635773945,0.0157984087376829,0.0,1.80436,0.011774790494468999,0.0118355481236134
DNAJB6P4,0.29341,-1.05392,0.13589600000000002,-0.4271359999999999,-1.2378799999999999,2.07513,1.93835,0.188139,-0.0176651210505379,0.717705,0.0138016489541269,-0.343333
DNAJB6P7,0.0214804380974887,0.0,-0.0204199879284416,0.0215827733760601,0.0478969589612998,0.0,0.0203922504935169,-0.0473368021946196,0.0,0.0,0.0,0.0
DNAJB7,-1.29738,0.559543,0.3155949999999999,-1.15115,0.1209369999999999,-0.4638609999999999,-0.7803720000000001,0.444097,-1.13097,-0.1436309999999999,0.427213,-0.701867
DNAJB8-AS1,0.0072315467971678,0.0,0.0,-1.95616,0.007124240557896999,-0.0076392377321599,-0.0076858195468612,-0.0070461998638392,0.00940581056495,0.0280559140911366,-0.0093077968259716,0.0
